Period,Application_ID,Cost,Source,Source_Item
2019-05,INSIGHTSRE,4.0,Swisscom,Enterprise Service Cloud Platinum Basic ECO Storage units
2019-05,TMA,0.0,Swisscom,Enterprise Service Cloud Platinum Basic ECO Storage units
2019-08,DSW,10568.0,Swisscom,Enterprise Service Cloud Platinum Basic Memory units
2019-04,PYTHIA,1141.0,Swisscom,Enterprise Service Cloud Platinum Basic Memory units
2019-05,SISLAB,6.0,Swisscom,"Enterprise Service Cloud Platinum Standard Backup ""remote"" units"
2019-01,PYTHIA,818.0,Swisscom,Enterprise Cloud Server Memory units
2019-01,SISLAB,0.0,Azure,Virtual Network Peering - Egress
2019-05,SISLAB,2.0,Azure,Tables - LRS Data Stored
2019-04,SISLAB,140.0,Azure,SQL Database Single Standard - S3 - DTUs
2019-07,SISLAB,1019.0,Azure,Virtual Machines NV Series - NV6 - EU West
2019-09,GEORE1,37.0,Azure,Tiered Block Blob - Hot RA-GRS - Data Stored - EU West
2019-08,PYTHIA,0.0,Azure,Files - Read Operations
2019-03,SISLAB,0.0,Azure,Queues - GRS - Class 1 Operations
2019-03,SISLAB,49.0,Azure,Standard HDD Managed Disks - S6 - Disks - EU West
2019-02,GEORE1,60.0,Azure,Azure Database for PostgreSQL General Purpose - Storage - Data Stored - EU West
2019-07,DSW,19054.0,Utilization,IBM Slovakia
2018-04,TMA,6597.0,Utilization,Rajesh Mahadevaiyer
2018-11,DSW,5032.0,Utilization,Expert System
2018-07,TMA,2639.0,Utilization,Marc Giombetti
2017-03,OCR,409.0,Utilization,Milan Kuchta
2019-02,PYTHIA,1349.0,Group Technology Management,Server Instances - Swisscom ESC
2019-06,OCR,170.0,Group Technology Management,Developer Workplace: JIRA/SCMIMT
2019-06,SISLAB,170.0,Group Technology Management,Developer Workplace: VSTS
2019-05,DSC,4555.0,Group Technology Management,Swisscom Oracle DBaaS - CHF spent excl. VAT
2019-07,SAMS,78.0,Group Technology Management,Swisscom Oracle DBaaS - CHF spent excl. VAT
2019-08,DSW,2628.0,Swisscom,Enterprise Service Cloud Platinum Standard Memory units
2019-08,INSIGHTSRE,6740.0,Swisscom,Enterprise Service Cloud Platinum Standard Fast Storage units
2019-07,DSC,2253.0,Swisscom,Enterprise Service Cloud Platinum Basic vCPU units
